--------- beginning of main
07-13 16:05:54.190  1919 10068 I ZunoPlugin:  - mainPage size: 1
07-13 16:05:54.190  1919 10068 I ZunoPlugin:  - Calling getMainPage for page ''...
07-13 16:05:54.311  1919 10068 E ZunoPlugin:    -> FAILED: com.phisher98.PlaylistParserException$InvalidHeader: Invalid file header. Header doesn't start with #EXTM3U
07-13 16:05:54.311  1919 10068 E ZunoPlugin: com.phisher98.PlaylistParserException$InvalidHeader: Invalid file header. Header doesn't start with #EXTM3U
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.phisher98.IptvPlaylistParser.parseM3U(QuickIPTV.kt:181)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.phisher98.IptvPlaylistParser.parseM3U(QuickIPTV.kt:167)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.phisher98.SportsIPTV.getMainPage$suspendImpl(QuickIPTV.kt:29)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.phisher98.SportsIPTV$getMainPage$1.invokeSuspend(QuickIPTV.kt:16)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:34)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:100)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.EventLoopImplBase.processNextEvent(EventLoop.common.kt:263)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BlockingCoroutine.joinBlocking(Builders.kt:94)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt__BuildersKt.runBlocking(Builders.kt:70)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt.runBlocking(dex-id-dfa84723ff9e41d58093de8b90afcd898163cce0:1)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt__BuildersKt.runBlocking$default(Builders.kt:48)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt.runBlocking$default(dex-id-dfa84723ff9e41d58093de8b90afcd898163cce0:1)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost.loadPluginsFromAssets$lambda$1(CloudStreamPluginHost.kt:319)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost.$r8$lambda$XdGHvdgpsegZqhRLCOZsvgX1p5o(CloudStreamPluginHost.kt:0)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost$$ExternalSyntheticLambda0.run(D8$$SyntheticClass:0)
07-13 16:05:54.311  1919 10068 E ZunoPlugin: 	at java.lang.Thread.run(Thread.java:1572)
07-13 16:05:54.311  1919 10068 I ZunoPlugin: Diagnosing provider: Pirate IPTV
